articleID;review1;review2;review3
419;7432898|B'nunc' b'mi' b'a' b'a' b'dui' b'a'.|accept;7432946|B'eros' b'ut' b'a' b'ut' b'a' b'a' b'a' b'a' b'ad' b'a' b'libero' b'id' b'purus' b'a' b'a'.|accept;7432902|B'erat' b've' b'a' b'per'.|reject
420;7433085|B'amet' b'in' b'a' b'vitae'.|accept;7432966|B'urna' b'at' b'a' b'eni' b'platea'.|accept;7432927|B'urna' b'id' b'a' b'a' b'a' b'odio'.|reject
421;7432969|B'quis' b'ad' b'a' b'mi' b'rhoncus'.|reject;7432920|B'eget' b've'.|accept;7432977|B'elit' b'ut' b'et' b'a' b'eni' b'a' b'a' b'ornare' b'dapibus' b'quam'.|accept
422;7432977|B'erat' b'ut' b'at' b'nulla' b'a' b'eget' b'a' b'a'.|accept;7432946|B'erat' b'ad' b'a' b'eu' b'ac' b'est' b'ac' b'proin'.|reject;7432983|B'nisi' b'at' b'orci'.|accept
423;7432908|B'enim' b'in' b'a' b'cum' b'a' b'lacus' b'a'.|accept;7433015|B'nisi' b'ac' b'a' b'habitant' b'elit' b'maecenas'.|reject;7432970|B'nisi' b'id' b'a'.|accept
424;7432966|B'pede' b'ac'.|accept;7433040|B'cras' b'ac' b'a' b'litora' b'per' b'a'.|reject;7432945|B'pede' b'id' b'a' b'leo' b'urna' b'a' b'a' b'a' b'rutrum' b'ac' b'a'.|accept
425;7432880|B'eget' b'ac' b'a' b'dis' b'sit' b'at' b'massa' b'a' b'ad' b'eni' b'a'.|accept;7432951|B'pede' b'et'.|reject;7433105|B'enim' b'ac' b'orci' b'quis' b'a' b'a'.|accept
426;7433055|B'diam' b'in'.|accept;7432953|B'eget' b'in' b'a' b'in'.|accept;7433076|B'pede' b'ad' b'in' b'eni'.|reject
427;7433013|B'elit' b'id' b'a' b'a'.|accept;7433092|B'urna' b'ac' b'a' b'lacus' b'a' b'nulla' b'a' b'ante' b'a' b'a'.|reject;7433043|B'eget' b'ac' b'a' b'a' b'dis' b'cras' b'a' b'etiam'.|accept
428;7433007|B'urna' b'at' b'a' b'in' b'cum' b'sed' b'varius' b'at' b'dictum' b'magna' b'ad' b'a' b'in' b'velit' b'ac' b'a'.|accept;7432998|B'eget' b'in' b'a' b'a' b'elementum' b'enim' b'in' b'a'.|accept;7433069|B'ante' b'id' b'pretium' b'placerat' b'sit' b'a' b'vel' b'montes'.|reject
429;7432887|B'odio' b'et' b'nisl'.|accept;7432978|B'nibh' b'ad' b'a' b'a' b'a' b'hac' b'aptent' b'a' b'fermentum' b'a' b've' b'id' b'nec' b'suscipit' b'ad' b'nam' b'a'.|reject;7433088|B'amet' b've' b'eu' b'leo'.|accept
430;7433106|B'arcu' b'et'.|accept;7432872|B'pede' b'et' b'a' b'et' b'a' b'a' b'nibh' b'in' b'a' b'purus' b'a' b'a' b'ante' b'felis' b'a'.|accept;7433063|B'nibh' b'et'.|reject
431;7432901|B'cras' b've' b'a' b'in' b'a' b'sit' b'quam' b'nisi' b'a' b'a'.|reject;7433034|B'ante' b'mi' b'a' b'sem' b'ac' b'amet' b'a' b'a' b've' b'a' b'a' b'a' b'mattis' b'tempor'.|accept;7433010|B'eget' b'et' b'cubilia' b'donec' b'duis'.|accept
432;7432935|B'nunc' b'ad' b'a' b'ligula' b'amet' b'tristique' b'tempus' b'in' b'a' b'sem' b'a' b'vitae' b'diam' b'cras' b'a' b'purus' b'metus'.|accept;7433100|B'enim' b'ut' b'a' b'sit' b'augue' b'mollis' b'in' b'nostra'.|reject;7432918|B'erat' b'in'.|accept
433;7433055|B'eget' b'at' b'a' b'a' b'cras' b'id' b'a' b'vel' b'dis' b'netus'.|accept;7433058|B'eget' b'mi' b've' b'a' b'erat'.|accept;7433059|B'duis' b'et' b'a' b'a' b'ut'.|reject
434;7433104|B'ante' b'et' b'a' b'a' b'ad' b'euismod'.|accept;7433058|B'ante' b'at' b'a' b'a' b'a' b'in' b'nibh' b'mi' b'a' b'congue' b'ut' b'a' b'a' b'vel' b'a'.|reject;7433009|B'nunc' b'eu' b'a' b'eget'.|accept
435;7433110|B'urna' b'in' b'cras' b'a' b'nisi' b'est' b'a' b'a' b'nullam' b'ut' b'a' b'at' b'dui' b'a' b'et' b'pede' b'est' b'mi'.|accept;7433103|B'nisl' b've' b'a' b'a' b'a' b've'.|accept;7432989|B'elit' b'et' b'ac' b'sit' b'a' b'a'.|reject
436;7432909|B'diam' b'id' b'a' b'a' b'feugiat' b'litora' b'eleifend'.|accept;7433029|B'eget' b've' b'a' b'et' b'dui' b'cum' b'eu' b'a'.|reject;7433074|B'urna' b'eu' b'a' b'ad' b'nunc' b'dis' b'a' b'a' b'a' b'eget' b'a' b'libero'.|accept
437;7433109|B'eget' b'id' b'a' b'mus' b'litora' b'nulla' b'a' b'varius' b'sem' b'magna' b'ad' b'nunc' b'a' b'a' b'mi' b'praesent'.|accept;7432951|B'arcu' b'at' b'a' b'a' b'a' b'a' b'a' b'ac' b'in' b'mi' b'a' b'sit' b'sociis'.|accept;7432941|B'ante' b'in'.|reject
438;7433102|B'cras' b'eu' b'a' b'class' b'cum' b'a'.|accept;7433016|B'diam' b've' b'in'.|accept;7433089|B'quam' b'ad' b'eu'.|reject
439;7433059|B'odio' b'ut'.|accept;7433110|B'pede' b'ad'.|accept;7433017|B'arcu' b'at' b'a' b'a' b'justo' b'a' b'curae' b'a'.|reject
440;7432926|B'eget' b'et' b'a' b'a' b'risus'.|accept;7433079|B'nisi' b'at'.|accept;7433052|B'duis' b'ac'.|reject
441;7433092|B'arcu' b'ad' b'a' b'a' b'nibh' b'proin' b'a' b'in' b'a' b'lectus' b'magna' b'cum' b'nec' b'augue'.|accept;7433020|B'cras' b'eu' b'et' b'taciti' b'a' b'dolor' b'diam' b'non' b'ut'.|reject;7433074|B'orci' b'in' b'a' b'a' b'dis' b'a' b'nisi' b'a' b'a' b'a'.|accept
442;7433103|B'quam' b'at'.|reject;7433000|B'quam' b'id'.|accept;7433064|B'enim' b'ut' b'et' b'a' b'eni' b'a' b'a' b've' b'a' b'etiam' b'a'.|accept
443;7432890|B'nisl' b'in' b'a' b'a'.|accept;7432883|B'odio' b'at'.|reject;7432905|B'cras' b'ac'.|accept
444;7433084|B'odio' b'ad' b'eu'.|accept;7433076|B'quam' b've' b'ac' b'curae' b've' b'a' b'id' b'a' b'a'.|accept;7432893|B'nisl' b'id' b'a' b'et' b'cum' b'sed' b'libero'.|reject
445;7432871|B'pede' b'eu' b'a' b'quam' b'a' b'per' b'primis' b'ut' b'nulla' b'ligula'.|reject;7432939|B'urna' b'et' b'a' b'a' b'laoreet' b'a' b'ut' b'magnis'.|accept;7432895|B'urna' b'ac' b'a' b'eget' b'leo' b've' b'a' b'mus' b'morbi' b'montes' b'sem' b'a' b'viverra' b'a' b'conubia'.|accept
446;7432868|B'pede' b'ut' b'amet' b'nam'.|accept;7432874|B'eget' b'in' b'aliquam' b'maecenas'.|reject;7432964|B'ante' b'at' b'a' b'dolor' b'sociosqu' b'fusce' b'primis' b'a' b'diam'.|accept
447;7432932|B'quam' b'at' b'a' b'in' b'ut' b'cum'.|accept;7433027|B'elit' b'id' b'a' b'a' b'a' b'pretium' b'a' b'ad' b'tellus' b'rhoncus' b'a' b'ac' b'nec'.|reject;7432893|B'eros' b'ac'.|accept
448;7433004|B'odio' b'in' b'ac' b'non' b'ornare'.|reject;7433084|B'duis' b'at' b'ante' b'dis' b'a' b'lorem' b'eu' b'a' b'a'.|accept;7432981|B'eros' b'mi'.|accept
449;7432920|B'eget' b'et'.|accept;7433056|B'ante' b'ad' b'mi' b'ac' b'a' b'a'.|reject;7433103|B'diam' b'et' b'id' b'et' b'sed' b'a' b'a' b'a' b'eu' b'vivamus' b'a' b'consectetuer' b'quam' b'eni' b'tempus' b'a'.|accept
450;7433089|B'quis' b'et' b'a' b'a' b'et' b'a' b'in'.|reject;7432873|B'odio' b'ut' b'eu' b'a' b'a'.|accept;7432992|B'arcu' b'ut' b've' b'molestie' b'a' b'mus' b'a' b'urna' b'a' b'leo' b'convallis'.|accept
451;7433092|B'diam' b've' b'mi'.|accept;7433011|B'nibh' b'eu' b'mi' b'a' b'a' b'a'.|accept;7433004|B'orci' b'id'.|reject
452;7432888|B'nibh' b'et'.|accept;7433074|B'duis' b'et' b'ad' b'et' b'fames' b'a'.|accept;7433006|B'nunc' b'at'.|reject
453;7432954|B'nisi' b'et' b'a' b'sem' b'potenti' b'convallis' b'diam' b'id' b'a' b'neque' b'ante' b'amet' b'a' b'a' b'a' b'a'.|reject;7432907|B'nibh' b'at' b'a' b'quis' b'a' b'a' b'a' b'massa'.|accept;7432996|B'cras' b'at' b'a' b'a' b'id' b'etiam' b'mi' b'a'.|accept
454;7432909|B'nisl' b'ac' b'a' b'morbi' b'a'.|accept;7432866|B'amet' b'ut' b'a'.|reject;7433085|B'duis' b'ad'.|accept
455;7432996|B'amet' b'in' b'a' b'eni' b'a' b'a' b'a' b'a' b'pede'.|reject;7432935|B'diam' b'ac' b'a' b'varius' b'a' b'ac' b'est' b'a' b'curae' b'a' b'pede'.|accept;7432902|B'cras' b'et' b'a' b'mus' b'scelerisque'.|accept
456;7433024|B'ante' b'in' b'mi'.|accept;7432996|B'eget' b'in' b'a' b'hac' b'elit' b'a'.|reject;7432964|B'nisl' b've' b'a' b'a' b'ad' b'eros' b'elit' b'a' b'a' b'a' b'feugiat'.|accept
457;7433108|B'orci' b'mi' b'a' b'a' b'a' b'a' b'venenatis' b'mus' b've' b'volutpat'.|accept;7433092|B'pede' b'in' b'viverra'.|accept;7432870|B'nisl' b'eu' b'a' b'habitant' b'a' b'hac' b'orci'.|reject
458;7433015|B'ante' b'id' b'a' b'a' b'a' b'ac' b'a' b'per' b'pede' b'a' b'a' b'tempus' b'a' b'facilisi' b'a' b'a' b'id' b'odio'.|accept;7433005|B'eros' b'eu' b'laoreet' b'a' b'mi' b'est' b'sem' b'a'.|reject;7432936|B'enim' b'eu' b'in' b'nec' b'et' b'primis' b'ante' b'malesuada'.|accept
459;7432890|B'quam' b'ac' b'a' b'eni' b'nisi' b'eget'.|accept;7433112|B'orci' b'ac' b'a' b'a' b'a' b'a' b'felis' b'id' b'a' b'a' b'in' b'a' b'senectus' b'a'.|reject;7433071|B'elit' b'eu'.|accept
460;7433031|B'ante' b'at'.|accept;7433046|B'enim' b'id' b'a'.|reject;7432898|B'eros' b'ut' b'viverra' b'a' b'mi' b'a' b'a' b'a'.|accept
462;7433108|B'duis' b'in'.|accept;7433075|B'orci' b'at' b'a' b'ut' b'eget'.|accept;7433047|B'arcu' b'ut' b'id' b'a' b'a' b'tempor' b'ante' b'eu' b'a' b'et' b'a'.|reject
463;7433047|B'nunc' b'ut' b'a' b'a' b'a' b'a' b'pede' b'amet' b'eros' b'primis' b'proin' b'non' b'dis' b'nunc' b'cras' b'a' b'a'.|reject;7433094|B'ante' b'mi' b'id' b'porta' b'a' b'id' b'molestie' b'purus'.|accept;7433014|B'duis' b'at' b'id' b'ac' b'id'.|accept
464;7432886|B'amet' b'mi' b'a' b'ut'.|accept;7433091|B'enim' b'in'.|reject;7432913|B'duis' b'et' b'a' b'sit' b'pede'.|accept
465;7432918|B'quis' b'in' b'a' b'eros' b'a' b'magna' b'vel' b'blandit' b'lacus' b'eu'.|reject;7433002|B'nisl' b'ut' b'a' b'dui'.|accept;7432942|B'pede' b'ad' b'a' b'nostra' b'dolor' b'nam' b'eni' b'et' b'a' b'a' b'a' b'a' b'at'.|accept
466;7432989|B'urna' b'ac' b'eu' b'lorem' b'at' b'platea' b'in' b'ligula' b'a' b'dui' b'malesuada' b'tempus' b'ut'.|reject;7432942|B'eros' b'et' b'ad' b'in' b'a' b'a' b'a' b'imperdiet'.|accept;7432904|B'erat' b'eu' b'cras'.|accept
467;7432926|B'arcu' b'mi' b'elit' b'nec' b'ut' b'nullam' b'a'.|accept;7432956|B'duis' b'at' b'a' b'tempus' b'est'.|accept;7433093|B'pede' b'ac'.|reject
468;7433019|B'pede' b'ac' b'a' b'sem' b'a' b'a' b'a' b'donec' b'imperdiet' b'vel' b'a'.|reject;7433112|B'diam' b've' b'in' b'a' b'a' b've' b'a' b'ante' b'a' b'a' b'tortor' b'diam' b'ac'.|accept;7432905|B'enim' b'et'.|accept
469;7433042|B'odio' b've' b'a' b'ad' b'a'.|reject;7432924|B'nunc' b'ad' b'a' b'netus'.|accept;7432959|B'nunc' b'id' b'a' b'ad'.|accept
470;7433051|B'arcu' b've' b'a' b'a' b'purus' b'non' b'dui' b'a'.|accept;7433101|B'diam' b'id' b'a' b'fames' b'neque' b'nisl' b'a' b'proin'.|accept;7433044|B'nunc' b'in' b'a' b'eni' b'a' b'nisi' b'a' b'a' b'mattis' b'imperdiet'.|reject
471;7432941|B'elit' b'ad'.|accept;7432930|B'cras' b'ut' b'a'.|accept;7432924|B'nisi' b'mi' b'ad' b'a' b'arcu' b'a' b'a' b'a' b'ac' b'a' b'a' b'a'.|reject
472;7432951|B'odio' b'eu' b'a' b'dis' b'a' b'a' b'a' b'in' b'curae' b'a' b'cum'.|accept;7432948|B'nunc' b'in' b'a' b'a' b'a' b'a' b'a' b'vulputate'.|accept;7433051|B'quam' b'at' b'a' b'nisi' b'at' b'a' b'luctus'.|reject
473;7432991|B'duis' b've' b'a' b'a' b'a' b'nulla' b'a' b'a' b'felis' b'a' b'vitae' b'a' b'sed'.|accept;7433011|B'duis' b'et' b'eu' b'a' b'a' b'a' b'a' b'sit' b'a' b'vitae' b'a' b'urna' b'vitae'.|reject;7432872|B'urna' b'at' b'a' b'cum' b'iaculis' b'ad' b'eget' b'urna' b'ornare'.|accept
474;7432911|B'arcu' b've' b'a' b'a' b'a' b'a'.|accept;7432977|B'quis' b've' b'a'.|reject;7432934|B'quis' b'ut' b'a' b'vel' b'nullam' b'eu' b'a' b'a' b'a'.|accept
475;7433012|B'nibh' b'mi' b'a' b'at' b'dolor'.|accept;7433072|B'nisl' b'in' b'ac' b'magnis' b'dis'.|reject;7433095|B'eros' b'in' b'a' b'sed' b'a' b'porta' b'a'.|accept
476;7432891|B'cras' b'at' b'a'.|accept;7433038|B'pede' b'in' b'a' b'dui' b'libero' b'euismod'.|reject;7433092|B'nunc' b'id' b'a' b'nostra'.|accept
477;7433037|B'orci' b've' b'a' b'platea' b'a' b'a' b'dui' b'hac' b'eu' b'porta' b'a' b'a' b'sem' b'mollis'.|accept;7432973|B'enim' b'eu' b'a' b'leo' b'nisl' b'a' b'sed'.|accept;7433074|B'elit' b'ad' b'pretium' b'ipsum' b'in' b'a' b'placerat' b'a' b'a' b'a' b'nunc'.|reject
478;7433030|B'odio' b'eu'.|accept;7432891|B'erat' b'ac'.|accept;7433015|B'nisl' b've'.|reject
479;7432893|B'nibh' b'at' b'a' b'a' b'phasellus' b'a' b'nisi' b'a' b'a' b'congue' b'a'.|accept;7433078|B'odio' b'eu' b'sodales' b'eleifend' b'cum' b'a' b'mi' b'ligula' b'nullam' b'a'.|accept;7433027|B'orci' b'ut' b'a'.|reject
480;7432875|B'eros' b'eu' b'id' b'ad' b'at' b'dis' b'leo'.|accept;7433017|B'enim' b'in' b'a' b'a' b'eni' b'tellus' b'fames' b'sed' b'a' b'sapien' b'a' b'ad' b'turpis' b'a' b'donec'.|reject;7432934|B'cras' b'ac'.|accept
481;7432956|B'diam' b've' b'a' b'primis' b'mi' b'a'.|accept;7433109|B'ante' b'ac' b'a' b'massa'.|reject;7432894|B'pede' b'ad' b'pede' b'eu' b'a'.|accept
482;7432991|B'odio' b've' b'a'.|accept;7433072|B'odio' b'ac' b'a' b'a'.|accept;7432942|B'urna' b'ad' b'a' b'mus' b'in' b'platea' b'a' b'malesuada'.|reject
483;7432921|B'ante' b've' b'in' b'eros' b'a' b'turpis' b'tempor' b'sollicitudin'.|reject;7432953|B'nisl' b'in' b'a' b'cras' b'a'.|accept;7432949|B'erat' b'ac' b'a' b'a' b'libero' b'dis'.|accept
484;7432890|B'nibh' b'at' b'a' b'dui' b'eget' b'vel' b'a' b'torquent'.|accept;7432997|B'orci' b'eu'.|accept;7432920|B'quam' b'in'.|reject
485;7432983|B'nibh' b'id'.|reject;7432915|B'diam' b'at' b'eu' b'id' b'a' b'justo' b'magna'.|accept;7432993|B'nisl' b'id' b've' b'odio' b'a'.|accept
486;7433097|B'nunc' b'et'.|accept;7433070|B'urna' b'ad' b'a' b'tellus' b'ad' b'auctor' b'erat' b'mi' b'a' b'a' b'nulla' b'imperdiet'.|accept;7432913|B'duis' b'mi' b'a' b'auctor' b'amet' b'id' b'duis' b'a'.|reject
487;7433022|B'eros' b'id' b'a' b'massa' b'sollicitudin' b'nisi' b'libero' b'a'.|accept;7433010|B'nunc' b'ut' b'a' b'nostra' b'ac' b'a' b'nisi'.|reject;7432932|B'arcu' b'ac' b'a' b'auctor' b'risus' b'ut' b'litora' b'ante' b'leo' b'a' b'nibh' b'mi' b'a' b'a' b'a' b'augue'.|accept
488;7432925|B'amet' b'ad'.|accept;7432955|B'cras' b'id' b'ac' b'praesent' b'a' b'a' b'et' b'a' b'ligula' b'ut' b'at' b'a'.|reject;7432997|B'ante' b'at'.|accept
489;7433055|B'urna' b'eu' b'in' b'a' b'a' b'consequat' b'cum' b'a' b'per' b'a' b'orci'.|accept;7432932|B'cras' b'ad' b'a' b'cum' b'dictum' b'nunc' b'in' b'a' b'a' b'id' b'vivamus'.|reject;7432996|B'orci' b'mi' b'a' b'a' b'eu' b'duis' b'arcu' b'nulla'.|accept
490;7432893|B'enim' b'ut' b'at'.|accept;7432997|B'amet' b'id' b'ad' b'a' b'a' b've'.|reject;7433025|B'urna' b'eu' b'a' b'a' b'et' b'libero'.|accept
491;7433002|B'nibh' b'ut' b'a'.|accept;7432944|B'enim' b'eu' b'a' b'a' b'a'.|accept;7433085|B'quam' b'et'.|reject
492;7433097|B'ante' b've' b'a' b'porta' b'a'.|accept;7433018|B'duis' b'et' b'ut' b'per' b'vel' b'at' b'sapien' b'a' b'pede' b'a'.|reject;7432875|B'orci' b've' b'a' b'lorem' b'in' b'ut' b'sit' b'a' b'fames'.|accept
493;7432947|B'quis' b'ac' b'a' b'a' b'a' b'augue' b'amet' b'massa' b'ac'.|accept;7432973|B'nibh' b'eu' b'ad' b'non' b'a'.|reject;7432977|B'urna' b'ad' b'a' b'a' b'a' b'eu' b'nascetur' b'a' b'sem' b'mi'.|accept
494;7432946|B'erat' b'ac'.|accept;7432981|B'enim' b'ac' b'a' b'nisi' b'a' b'eu' b'hac' b'a' b'vel' b'montes' b'a' b'vel' b'nec'.|accept;7433017|B'eget' b'ut' b'a' b'ac' b'nec' b'dui' b'a' b'nec' b'leo' b'a' b'a' b'at' b'leo' b'ad' b'quam' b'a'.|reject
495;7433067|B'odio' b'mi' b'a' b'eget'.|accept;7432927|B'cras' b'eu' b'a' b'a' b'a' b'ante' b'a'.|accept;7432966|B'erat' b'et'.|reject
496;7433006|B'quam' b'at' b'a' b'ornare' b'vivamus' b'a'.|reject;7433093|B'eget' b'ad' b'a' b'et' b'a' b'ac' b'sem' b'proin' b'dapibus' b'sit' b'a' b'a' b'a' b'ac' b'eu'.|accept;7433022|B'quam' b've' b'quisque' b'curae'.|accept
497;7433069|B'nisi' b'mi' b'eu' b'est' b'non' b'a' b'a' b'est' b'eros' b'non' b'mi' b'eget' b'orci' b'a' b'a' b'in' b'a' b'hac'.|accept;7432885|B'eget' b'at' b'a' b'mollis' b'porta' b'a' b'enim'.|reject;7432917|B'quam' b'ad' b'a' b'ipsum' b'mauris' b'a' b'nibh'.|accept
498;7433076|B'quam' b'id'.|accept;7433087|B'urna' b'mi' b'rhoncus' b'cras' b'a' b'a' b'non' b'a' b'a' b'a' b'semper' b'at'.|reject;7432937|B'cras' b'eu' b'a' b'primis' b'a' b'a' b'a'.|accept
499;7433065|B'eget' b'ad' b'eu' b'a' b'massa' b'risus' b've' b'a' b'turpis' b'congue' b'at' b'a' b'in' b'nam' b'a' b'nisl'.|reject;7432903|B'elit' b've' b'a' b'a' b'non' b'turpis' b'a' b'sociosqu'.|accept;7432881|B'duis' b've' b'a' b'a'.|accept
500;7433029|B'orci' b'ad' b'duis' b'dis' b'a' b'a' b'ante' b'a' b'ante' b'a' b'et'.|accept;7432966|B'enim' b'ac' b'a' b'a' b'a'.|accept;7433082|B'eget' b'ad' b'et' b'a' b'a'.|reject
501;7432866|B'pede' b'mi' b'in' b'sem' b'neque' b'conubia'.|accept;7432927|B'diam' b'eu' b'cubilia' b'a' b'montes' b'nam' b'rhoncus' b'fermentum' b'nibh' b'metus' b'ac' b'a' b'a'.|accept;7432977|B'nibh' b've' b'a' b'aenean' b'purus' b'a' b'a' b'ipsum' b'nisi'.|reject
502;7432893|B'nunc' b'ac' b'a' b'aliquam' b'euismod' b'a' b'est' b'platea' b'erat'.|accept;7433010|B'nisi' b'at' b'a' b'non' b'per' b'ornare' b'at' b'curae'.|reject;7432937|B'nisl' b'ad' b'cubilia' b'a' b'nostra' b'ut' b'a' b'nisi' b'a' b'a' b'a' b'a'.|accept
503;7432880|B'nisi' b've' b'a'.|accept;7432872|B'urna' b'ac' b'at' b'est' b'id'.|reject;7432968|B'orci' b'id'.|accept
504;7433111|B'cras' b'eu' b'a' b'cum' b'arcu' b'a' b'eu' b'cras' b'duis' b'sociis' b'a'.|accept;7432980|B'orci' b'ut' b'a' b'donec' b'urna' b'eu' b'nunc' b'a' b'a' b'platea' b'non'.|reject;7433047|B'erat' b'at' b'a' b'a' b'dolor'.|accept
505;7433015|B'nibh' b've' b'erat'.|accept;7432971|B'nibh' b'ad' b'a' b'lacus' b'a' b'a' b'amet' b'a' b'a' b'a' b'sem'.|accept;7433051|B'arcu' b'ac' b'ut'.|reject
506;7433043|B'duis' b'at' b'a' b'mollis' b'a'.|reject;7432968|B'quis' b'ad' b'a' b'eni' b'risus' b'a' b'odio' b'sem' b'a' b'a'.|accept;7433050|B'cras' b'id' b'a' b'in' b'a' b'porta'.|accept
507;7433014|B'quam' b'at' b'a' b'curabitur'.|accept;7433028|B'arcu' b'in' b'at' b'ad' b'id'.|accept;7432913|B'orci' b've' b'a' b'duis' b'sed' b'a' b'a' b'in' b'a' b'ac'.|reject
508;7433070|B'cras' b'ac' b'a' b'a' b'vitae' b'tempor'.|reject;7433064|B'nisl' b'eu'.|accept;7432896|B'ante' b'eu'.|accept
509;7433002|B'arcu' b'in' b'eu' b'ad' b'vehicula' b'nulla' b'a'.|accept;7433003|B'amet' b'ac' b'a' b'a' b'ante' b'a' b'senectus' b'a' b'a' b'ac' b'imperdiet' b'lacus'.|reject;7433074|B'erat' b'in' b'a'.|accept
510;7433087|B'amet' b'et'.|accept;7433034|B'orci' b'ac' b'a' b'ac' b'a' b'a' b'cum' b'porta' b'ad'.|accept;7432880|B'eget' b'in' b'a' b'dis' b'nisi' b'a' b'a'.|reject
511;7432982|B'pede' b'mi' b'amet'.|reject;7433090|B'enim' b'id' b'a' b'a' b'dis' b'elit'.|accept;7432903|B'duis' b'ac'.|accept
512;7432952|B'erat' b've' b'ac' b'ut' b'eni' b'a' b'per' b'eu' b'eni' b'mus' b'fames' b'duis' b'ad'.|accept;7432931|B'duis' b'id' b'a' b'dictumst' b'a' b'dui'.|accept;7433108|B'nisi' b've' b'at' b'sed' b'velit' b'felis' b'in' b'a'.|reject
513;7433090|B'amet' b'ac' b'a' b'amet'.|accept;7432916|B'quis' b'et' b'vivamus' b'a' b'tortor' b'nisi'.|reject;7432877|B'cras' b'in' b'a' b'a' b'ad' b'a' b'a' b'ad' b'sociis' b'pede' b'ad' b'et' b'a' b'dolor' b'sollicitudin' b'quis' b'congue' b'a'.|accept
514;7432948|B'nunc' b'et' b'a' b'torquent' b'cras' b'a' b'sem'.|accept;7433039|B'amet' b've' b'a' b'a'.|accept;7432961|B'amet' b'at' b'orci'.|reject
515;7432983|B'nunc' b'in' b'gravida' b'a' b'in'.|accept;7433063|B'orci' b'eu' b'a'.|accept;7433044|B'nisi' b'eu' b'potenti'.|reject
516;7432934|B'cras' b'mi' b'a' b'imperdiet' b'nisi' b'ad'.|accept;7433096|B'nunc' b'ut' b'a' b'per' b'a' b'a'.|reject;7433081|B'orci' b'et' b'a' b'ut' b'diam'.|accept
517;7433112|B'enim' b'ad' b'mi' b'a' b'eros' b'ad'.|accept;7433113|B'nibh' b'mi' b'a' b'at'.|accept;7432991|B'elit' b'id' b'a' b'a' b'a' b'fames' b'ligula'.|reject
518;7432945|B'quis' b'et' b'a' b'fames' b'leo' b'at' b'a'.|accept;7432966|B'arcu' b'id' b'egestas' b'morbi' b'duis' b'sed'.|reject;7433024|B'eget' b'id' b'a' b'eni' b'a' b'non' b'lorem' b'a'.|accept
519;7432987|B'pede' b'in' b'a' b'a' b'venenatis' b'consectetuer' b'quis' b'per' b'a' b'montes' b'a' b'a'.|accept;7432927|B'ante' b've' b'egestas' b'etiam' b'a' b'a' b'a' b'sit'.|reject;7433085|B'nisl' b'et' b'a' b'sed' b'id'.|accept
520;7433040|B'urna' b'ut'.|accept;7433069|B'orci' b'eu' b'a' b'nec' b'a' b'a' b'a'.|reject;7432881|B'orci' b'eu' b'a' b'et' b'hac' b'primis' b'a' b'per' b'a' b'a' b'et'.|accept
521;7433022|B'quam' b've' b'a' b'a' b'a' b'a' b'a' b'purus' b'mauris' b'a'.|reject;7432975|B'enim' b'at' b'egestas' b'purus' b'a'.|accept;7432937|B'diam' b'ut' b'a' b'a' b'nulla' b'nisi' b'quis' b'suspendisse' b'aenean' b'at' b'a'.|accept
522;7432979|B'odio' b'eu' b'a' b'non' b've' b'ipsum' b'a' b'ut' b'nec'.|accept;7432929|B'erat' b'ad' b'a' b'ad' b'proin' b'eu'.|accept;7433034|B'elit' b'ut'.|reject
523;7433030|B'elit' b'ad' b'a' b'a' b'a' b'a' b'fermentum'.|accept;7432909|B'nisl' b'et' b'a' b'a' b'a' b'in' b'ad'.|reject;7433093|B'orci' b'et' b'a' b'eni' b'nisi' b'quam' b'a' b'a'.|accept
524;7433033|B'erat' b'mi' b'egestas' b'sagittis' b'dis'.|accept;7432957|B'nisl' b'et'.|accept;7433113|B'odio' b'ac'.|reject
525;7432980|B'diam' b'ad' b'in' b'a' b'orci'.|accept;7432977|B'elit' b'eu' b'ut' b'mus' b'a' b'a' b'at' b'a' b'a' b'a'.|accept;7433062|B'nisi' b'eu' b'a' b'class' b'id' b'a' b'primis'.|reject
526;7433094|B'urna' b'ad'.|accept;7433003|B'enim' b'ac' b'natoque' b'nisi' b'a' b'a' b'sociis' b'a' b'a'.|reject;7432990|B'quam' b'ut' b'a' b'a' b'porta' b'rhoncus' b'leo' b'ad' b'luctus' b'libero'.|accept
527;7432927|B'nisl' b'ad'.|accept;7432953|B'duis' b'ac' b'a' b'non' b'proin' b'egestas' b'vel'.|accept;7433076|B'urna' b'ac' b'a' b'sapien' b'a' b'et'.|reject
528;7432971|B'diam' b'mi'.|accept;7432972|B'duis' b'id' b'ut' b'pede' b'tempus'.|accept;7433092|B'erat' b'et' b'mi' b'mus' b'in' b'a'.|reject
529;7432913|B'amet' b'ac' b'in' b'elit' b'a' b'dignissim' b'lorem' b'id' b'a' b'a' b'sed' b'libero' b'risus' b'hac'.|reject;7432985|B'nunc' b'in' b'ad' b'ipsum'.|accept;7432867|B'erat' b'eu' b'a' b'a' b'risus' b'nec' b'eu' b'eget' b'litora'.|accept
530;7432945|B'erat' b'at' b'laoreet' b'metus' b'a' b'arcu'.|reject;7432943|B'nisi' b'mi' b'in' b'a' b'a' b'a' b'a' b'mi' b'id' b'odio' b'a' b'a' b'id' b'turpis' b'a' b'a' b'a'.|accept;7432980|B'diam' b'eu' b'erat' b'eni'.|accept
